"max_temp","min_temp","air_frost_days","rain_mm","sun","station","lat","long","month_year"
5.9,0.9,NA,48.3,NA,"wick",58.454,-3.088,"1914-01-01"
7.7,2.3,NA,66,NA,"wick",58.454,-3.088,"1914-02-01"
6.4,1.1,NA,76.7,NA,"wick",58.454,-3.088,"1914-03-01"
10.8,4.4,NA,27.9,NA,"wick",58.454,-3.088,"1914-04-01"
10.7,4.4,NA,61,NA,"wick",58.454,-3.088,"1914-05-01"
13.5,7.6,NA,21.1,NA,"wick",58.454,-3.088,"1914-06-01"
14.4,10.2,NA,91.9,NA,"wick",58.454,-3.088,"1914-07-01"
15.2,10.2,NA,40.6,NA,"wick",58.454,-3.088,"1914-08-01"
13.4,7.9,NA,58.9,NA,"wick",58.454,-3.088,"1914-09-01"
11.8,6.1,NA,48.8,NA,"wick",58.454,-3.088,"1914-10-01"
8.8,3,NA,105.2,NA,"wick",58.454,-3.088,"1914-11-01"
5.7,0.5,NA,84.1,NA,"wick",58.454,-3.088,"1914-12-01"
5.6,1.3,NA,58.4,NA,"wick",58.454,-3.088,"1915-01-01"
5.5,0.9,NA,63.5,NA,"wick",58.454,-3.088,"1915-02-01"
6.7,1,NA,50.8,NA,"wick",58.454,-3.088,"1915-03-01"
8.7,2.4,NA,58.4,NA,"wick",58.454,-3.088,"1915-04-01"
9.4,3.6,NA,12.7,NA,"wick",58.454,-3.088,"1915-05-01"
12.6,6.8,NA,22.9,NA,"wick",58.454,-3.088,"1915-06-01"
14.3,8.9,NA,63.5,NA,"wick",58.454,-3.088,"1915-07-01"
14.6,10.3,NA,22.9,NA,"wick",58.454,-3.088,"1915-08-01"
13.2,8.7,NA,86.4,NA,"wick",58.454,-3.088,"1915-09-01"
10.9,5.2,NA,27.9,NA,"wick",58.454,-3.088,"1915-10-01"
6.3,1.2,NA,96.5,NA,"wick",58.454,-3.088,"1915-11-01"
5.4,0.2,NA,111.8,NA,"wick",58.454,-3.088,"1915-12-01"
7.7,2.8,NA,76.2,NA,"wick",58.454,-3.088,"1916-01-01"
5.3,1,NA,33,NA,"wick",58.454,-3.088,"1916-02-01"
4.7,0.6,NA,53.3,NA,"wick",58.454,-3.088,"1916-03-01"
8.7,3,NA,43.2,NA,"wick",58.454,-3.088,"1916-04-01"
9.7,5.1,NA,78.7,NA,"wick",58.454,-3.088,"1916-05-01"
11,7.3,NA,86.4,NA,"wick",58.454,-3.088,"1916-06-01"
13.8,9.6,NA,33,NA,"wick",58.454,-3.088,"1916-07-01"
13.5,8.8,NA,30.5,NA,"wick",58.454,-3.088,"1916-08-01"
